task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,seed,attempt,derived_seed,objective,feasible,train_sequences,train_positives,train_negatives,train_prevalence,train_size_deviation,train_prevalence_deviation,train_cluster_count,validation_sequences,validation_positives,validation_negatives,validation_prevalence,validation_size_deviation,validation_prevalence_deviation,validation_cluster_count,test_sequences,test_positives,test_negatives,test_prevalence,test_size_deviation,test_prevalence_deviation,test_cluster_count,maximum_split_size_deviation,maximum_prevalence_deviation,minimum_split_sequences,minimum_split_positives,minimum_split_negatives
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,0,13,13,0.00469530592343778,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18919,6695,5162,1533,0.7710231516056759,0.00027640199308253424,0.00013840909444284843,138,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,113,0.00027640199308253424,0.00013840909444284843,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,1,37,1000040,0.005798283604780487,1,31232,24085,7147,0.7711641905737705,8.644232216083682e-05,2.6298736517382792e-06,18920,6696,5163,1533,0.7710573476702509,0.00042580847582982065,0.00010421302986785008,132,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,118,0.00042580847582982065,0.00010421302986785008,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,2,48,2000054,0.004695305923437781,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18919,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,138,6695,5162,1533,0.7710231516056759,0.00027640199308253424,0.00013840909444284843,113,0.00027640199308253424,0.00013840909444284843,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,3,14,3000023,0.004695305923437781,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18919,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,115,6695,5162,1533,0.7710231516056759,0.00027640199308253424,0.00013840909444284843,136,0.00027640199308253424,0.00013840909444284843,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,4,38,4000050,0.004695305923437781,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18919,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,109,6695,5162,1533,0.7710231516056759,0.00027640199308253424,0.00013840909444284843,142,0.00027640199308253424,0.00013840909444284843,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,5,14,5000029,0.00469530592343778,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18919,6695,5162,1533,0.7710231516056759,0.00027640199308253424,0.00013840909444284843,133,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,118,0.00027640199308253424,0.00013840909444284843,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,6,0,6000018,0.005798283604780487,1,31232,24085,7147,0.7711641905737705,8.644232216083682e-05,2.6298736517382792e-06,18919,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,128,6696,5163,1533,0.7710573476702509,0.00042580847582982065,0.00010421302986785008,123,0.00042580847582982065,0.00010421302986785008,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,7,7,7000028,0.005798283604780487,1,31232,24085,7147,0.7711641905737705,8.644232216083682e-05,2.6298736517382792e-06,18920,6696,5163,1533,0.7710573476702509,0.00042580847582982065,0.00010421302986785008,124,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,126,0.00042580847582982065,0.00010421302986785008,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,8,4,8000028,0.005798283604780487,1,31232,24085,7147,0.7711641905737705,8.644232216083682e-05,2.6298736517382792e-06,18919,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,166,6696,5163,1533,0.7710573476702509,0.00042580847582982065,0.00010421302986785008,85,0.00042580847582982065,0.00010421302986785008,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,9,45,9000072,0.005680416112878926,1,31233,24086,7147,0.7711715173054141,5.44266472864183e-05,9.956605295347032e-06,18920,6696,5163,1533,0.7710573476702509,0.00042580847582982065,0.00010421302986785008,123,6692,5161,1531,0.7712193664076509,0.00017181745515932502,5.780570753211034e-05,127,0.00042580847582982065,0.00010421302986785008,6692,5161,1531
