task_id,amp_label,class_name,feature_type,feature,n,minimum,maximum,mean,standard_deviation,median,q1,q3,iqr
amp_vs_toxic_without_amp_evidence,0,background_negative,physicochemical,net_charge,10211,-30.964,20.443,0.09984849671922438,3.4502899945775742,-0.005,-2.001,1.89,3.891
amp_vs_toxic_without_amp_evidence,0,background_negative,physicochemical,mean_hydrophobicity,10211,-1.39375,0.8975,-0.02545616324450094,0.2002676951234621,-0.024166666666666677,-0.14598507462686564,0.09215084508832128,0.2381359197151869
amp_vs_toxic_without_amp_evidence,0,background_negative,physicochemical,charged_residue_proportion,10211,0.0,1.0,0.33449913677417664,0.14239020575382064,0.35135135135135137,0.2727272727272727,0.4219466743119266,0.1492194015846539
amp_vs_toxic_without_amp_evidence,0,background_negative,physicochemical,hydrophobic_ratio,10211,0.0,0.8421052631578947,0.36851562405274696,0.1205932373307096,0.3783783783783784,0.3103448275862069,0.4444444444444444,0.1340996168582375
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_A,10211,0.0,0.5454545454545454,0.05126249840267832,0.049257796673563274,0.046153846153846156,0.0,0.07692307692307693,0.07692307692307693
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_C,10211,0.0,0.5,0.12337454867131388,0.09704168154572328,0.12121212121212122,0.041237600377893244,0.18893421723610404,0.14769661685821078
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_D,10211,0.0,0.4,0.04492359058039536,0.042168890460667914,0.04,0.0,0.06773289155091117,0.06773289155091117
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_E,10211,0.0,0.3888888888888889,0.049038549022519314,0.04970561951694425,0.04081632653061224,0.0,0.07317073170731707,0.07317073170731707
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_F,10211,0.0,0.6,0.0370001986720485,0.041341411165559554,0.028985507246376812,0.0,0.05555555555555555,0.05555555555555555
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_G,10211,0.0,0.5,0.07434167105600833,0.056153147069335996,0.07142857142857142,0.03333333333333333,0.10810810810810811,0.07477477477477479
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_H,10211,0.0,0.3333333333333333,0.018425517784492095,0.026737683549633094,0.0,0.0,0.029850746268656716,0.029850746268656716
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_I,10211,0.0,0.375,0.03567479599427283,0.03836826931937575,0.029411764705882353,0.0,0.05454545454545454,0.05454545454545454
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_K,10211,0.0,0.625,0.05379834969167825,0.055995074322539105,0.044444444444444446,0.0,0.08333333333333333,0.08333333333333333
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_L,10211,0.0,0.7222222222222222,0.06046570236234309,0.05445365396969217,0.05660377358490566,0.015151515151515152,0.0916030534351145,0.07645153828359935
