Partition,folder,k,Seed,Algorithm,AUPRC train,AUPRC val,AUPRC test
Cluster aware,cluster_aware_k200,200,seed_10,Logistic Regression,0.8689195149957657,0.9520982854746486,0.8506193305994211
Cluster aware,cluster_aware_k200,200,seed_10,Random Forest,0.9999999999999999,0.9999999999999999,0.8592193794962939
Cluster aware,cluster_aware_k200,200,seed_10,SVM,0.9180388485027825,0.9797004605490778,0.8606161124356418
Cluster aware,cluster_aware_k200,200,seed_3,KNN,1.0,1.0,0.8587595320115202
Cluster aware,cluster_aware_k200,200,seed_3,Logistic Regression,0.8929972647813118,0.7276542497916009,0.8623547208037607
Cluster aware,cluster_aware_k200,200,seed_3,Random Forest,1.0,1.0,0.8609137415177225
Cluster aware,cluster_aware_k200,200,seed_3,SVM,0.932890458237281,0.8471463862554299,0.8804578672912479
Cluster aware,cluster_aware_k200,200,seed_4,KNN,1.0,1.0,0.7462249040884412
Cluster aware,cluster_aware_k200,200,seed_4,Logistic Regression,0.8976409789027238,0.8812532529464346,0.7522094663151457
Cluster aware,cluster_aware_k200,200,seed_4,Random Forest,1.0,1.0,0.76250430035361
Cluster aware,cluster_aware_k200,200,seed_4,SVM,0.9301266347017703,0.9398019729633256,0.7873799147014083
Cluster aware,cluster_aware_k200,200,seed_6,KNN,1.0,1.0,0.8794301953189643
Cluster aware,cluster_aware_k200,200,seed_6,Logistic Regression,0.8785603675619317,0.8557454331378933,0.8773897148647349
Cluster aware,cluster_aware_k200,200,seed_6,Random Forest,1.0,0.9999999999999999,0.900789313484056
Cluster aware,cluster_aware_k200,200,seed_6,SVM,0.9197230260810652,0.9014322436412265,0.9126905663343962
Cluster aware,cluster_aware_k200,200,seed_9,KNN,1.0,1.0,0.8156434781550204
Cluster aware,cluster_aware_k200,200,seed_9,Logistic Regression,0.8860671296530895,0.9391906273125984,0.808701246072701
Cluster aware,cluster_aware_k200,200,seed_9,Random Forest,1.0,1.0,0.8204405867657968
Cluster aware,cluster_aware_k200,200,seed_9,SVM,0.9283141125758488,0.9650086388112606,0.8248158087293994
Cluster aware,cluster_aware_k200,200,seed_8,KNN,1.0,0.9999999999999999,0.8193650524118999
Cluster aware,cluster_aware_k200,200,seed_8,Logistic Regression,0.9011128662257996,0.8428199707691485,0.8085957262209889
Cluster aware,cluster_aware_k200,200,seed_8,Random Forest,1.0,1.0,0.8294799429693968
Cluster aware,cluster_aware_k200,200,seed_8,SVM,0.9400171401439541,0.9115548428109878,0.8160882209982506
Cluster aware,cluster_aware_k200,200,seed_2,KNN,1.0,1.0,0.8533989943091358
Cluster aware,cluster_aware_k200,200,seed_2,Logistic Regression,0.8968890618309959,0.7704846703177367,0.846557264534474
Cluster aware,cluster_aware_k200,200,seed_2,Random Forest,1.0,1.0,0.8635540922888079
Cluster aware,cluster_aware_k200,200,seed_2,SVM,0.9345189233326544,0.8349424162841041,0.8801463783028571
Cluster aware,cluster_aware_k400,400,seed_7,KNN,1.0,1.0,0.8463207984725509
Cluster aware,cluster_aware_k400,400,seed_7,Logistic Regression,0.8917091221509051,0.8578154397316566,0.8499941107068855
Cluster aware,cluster_aware_k400,400,seed_7,Random Forest,1.0,0.9999999999999999,0.8533022995612447
Cluster aware,cluster_aware_k400,400,seed_7,SVM,0.9352083978340041,0.8950598181933006,0.8676826690942441
