strategy,metric,n,mean,std,min,max,range,cv
splits,test_auprc,20,0.8965392021536716,0.013220338224064399,0.8633807303223283,0.9184193306132892,0.05503860029096086,0.014745967819707636
splits,test_auroc,20,0.917155074649241,0.00913176748459848,0.8991969815856692,0.9332230087313644,0.03402602714569525,0.00995662318947628
