,1,7,13,21,42,77,101,1337,2024,9001
1,1.0,0.03934426229508197,0.060126582278481014,0.046357615894039736,0.04377104377104377,0.04573170731707317,0.06622516556291391,0.030405405405405407,0.05016722408026756,0.03146853146853147
7,0.03934426229508197,1.0,0.05921052631578947,0.04844290657439446,0.03125,0.07142857142857142,0.05102040816326531,0.04659498207885305,0.05985915492957746,0.048327137546468404
13,0.060126582278481014,0.05921052631578947,1.0,0.06291390728476821,0.08620689655172414,0.04819277108433735,0.054838709677419356,0.06896551724137931,0.03908794788273615,0.04529616724738676
21,0.046357615894039736,0.04844290657439446,0.06291390728476821,1.0,0.0313588850174216,0.03785488958990536,0.030100334448160536,0.03558718861209965,0.06007067137809187,0.03308823529411765
42,0.04377104377104377,0.03125,0.08620689655172414,0.0313588850174216,1.0,0.045307443365695796,0.04498269896193772,0.06343283582089553,0.038869257950530034,0.018518518518518517
77,0.04573170731707317,0.07142857142857142,0.04819277108433735,0.03785488958990536,0.045307443365695796,1.0,0.056782334384858045,0.06,0.06168831168831169,0.058419243986254296
101,0.06622516556291391,0.05102040816326531,0.054838709677419356,0.030100334448160536,0.04498269896193772,0.056782334384858045,1.0,0.05319148936170213,0.05154639175257732,0.05904059040590406
1337,0.030405405405405407,0.04659498207885305,0.06896551724137931,0.03558718861209965,0.06343283582089553,0.06,0.05319148936170213,1.0,0.05090909090909091,0.018867924528301886
2024,0.05016722408026756,0.05985915492957746,0.03908794788273615,0.06007067137809187,0.038869257950530034,0.06168831168831169,0.05154639175257732,0.05090909090909091,1.0,0.0449438202247191
9001,0.03146853146853147,0.048327137546468404,0.04529616724738676,0.03308823529411765,0.018518518518518517,0.058419243986254296,0.05904059040590406,0.018867924528301886,0.0449438202247191,1.0
